openlibrary_key,isbn,title,author,first_publish_year,edition_count,original_subjects,assigned_genres,language,number_of_pages,cover_id,availability_status,last_modified,google_rating,google_ratings_count,google_description
,N/A,Stranger in a Strange Land,Robert A. Heinlein,1961,80,"['Hugo Award Winner', 'award:hugo_award=1962', 'award:hugo_award=novel', 'Fiction', 'Fiction in English', 'Science fiction', 'American Science fiction', 'Religion', 'Cults', 'Sects', 'Martians', 'Life on other planets', 'Fiction, science fiction, general', 'Long Now Manual for Civilization']",['science fiction'],N/A,0,14630668,error,N/A,,,"Robert Anson Heinlein (Butler, 7 de julio de 1907 - Carmel, 8 de mayo de 1988) Extraordinario escritor estadounidense de ciencia ficci�n considerado por algunos cr�ticos entre los tres mejores de todos los tiempos, junto con Isaac Asimov y Arthur C. ClarkeHabitualmente riguroso en cuanto a la base cient�fica en sus historias, incluso sus historias de fantas�a contienen una estructura cient�fica l�gica. Una de las caracter�sticas que definen su escritura fue el introducir en la tem�tica de la ciencia ficci�n la administraci�n, la pol�tica, la econom�a, la ling��stica, la sociolog�a y la gen�tica."
,N/A,Foundation and Empire,Isaac Asimov,1945,80,"['Fiction', 'Psychohistory', 'Life on other planets', 'American Science fiction', 'Science Fiction', 'Fiction, science fiction, general', 'Trantorian empire (imaginary place), fiction', 'American literature', 'Vie extraterrestre', 'Romans, nouvelles', 'Psychohistoire', 'award:retro_hugo', 'Hari Seldon (Fictitious character)', 'Long Now Manual for Civilization']",['science fiction'],N/A,0,9300695,error,N/A,,,
,N/A,The Amber Spyglass,Philip Pullman,1999,79,"['Fantasy', 'Fantasy fiction', 'Quests (Expeditions)', 'Fiction', 'Missing persons', 'Good and evil', 'Kidnapping', 'Traducciones al español', 'Imaginary places', 'Lyra Belacqua (Fictitious character)', 'Magic', 'Magia', 'Belacqua, Lyra (Personaje literario)', 'Will Parry (Fictitious character)', 'Science fiction', 'Ficción juvenil', 'Novela fantástica', 'Lugares imaginarios', 'Niños', 'Juvenile fiction', 'Bien y mal', 'Experiments', 'Novela fantástica inglesa', 'Children', 'Parry, Will (Personaje literario)', 'Familiars (Spirits)', 'Witches', 'Demonology', ""Children's fiction"", 'Belacqua, lyra (fictitious character), fiction', 'Large type books', 'Reading Level-Grade 11', 'Reading Level-Grade 12', 'Young adult fiction', 'Science fiction, fantasy, horror', 'Fiction, fantasy, general', 'Fantasy anglaise', 'Er tong xiao shuo', 'Zhang pian xiao shuo', 'San bu qu(zuo pin)', 'American Fantasy fiction', 'English Fantasy fiction']","['children', 'fantasy', 'science fiction']",N/A,0,12613246,error,N/A,5,1,"Though ostensibly written for children, this heroic and heartwrenching His Dark Materials trilogy is beloved by readers of all ages.These three novels unlock the door to parallel universes where demons and winged creatures live side by side with humans, and a mysterious entity called Dust just might have he power to unite the universes-if it isn't destroyed first. Lyra, Pantalaimon, Will, and the rest embark on the most breathtaking, heartbreaking adventure of their lives. The fate of the universe is in their hands"
,N/A,Second Foundation,Isaac Asimov,1953,79,"['Fiction', 'Psychohistory', 'Life on other planets', 'Science fiction', 'Fiction, science fiction, general', 'American literature', 'Psychological fiction', 'Vie extraterrestre', 'Romans, nouvelles', 'Psychohistoire', 'Hari Seldon (Fictitious character)', 'Long Now Manual for Civilization']",['science fiction'],N/A,0,9261324,error,N/A,,,"Mientras Hari Seldon se esfuerza por perfeccionar su revolucionaria teoría de la psicohistoria, el gran Imperio Galáctico está al borde de un colapso apocalíptico. Seldon y aquellos a los que más quiere se convierten en peones en la lucha por el poder: quien lo controle a él controlará la psicohistoria, y con ella el futuro de la Galaxia. Entre los que desean convertir la psicohistoria en un arma se encuentran un político, el emperador Cleón, y un despiadado general. En su último acto de servicio a la humanidad, Seldon debe apañárselas para salvar el trabajo de toda su vida de las garras de ambos e ir en busca de sus verdaderos herederos y del sueño de una nueva Fundación."
,N/A,The man who ended war,Hollis Godfrey,1908,78,"['Utopias', 'Science fiction']",['science fiction'],N/A,0,6379250,error,N/A,,,"The Secretary of War of the United States receives a letter sent to his and all other nations, declaring that war has too long devastated the earth and the time has come for peace. It orders them to destroy their weapons of warfare and disband their militaries. The letter ends: ""One year from this date will I allow for disarmament and no more. At the end of that time, if no heed has been paid to my injunction, I will destroy, in rapid succession, every battleship in the world. By the happenings of the next two months you shall know that my words are the words of truth."" It is signed ""The man who will stop all war."" The government officials at first dismiss this as a letter from a crank. Then a few battleships vanish, one per week, without a trace. What new technology enables this man to carry out his threat? Can he be found and stopped? Will the major powers of the world agree to disarm or will they blame each other and start a war? Recipe: Take an American investigative reporter, add his science professor friend and the professor's beautiful intelligent sister, throw in some early 20th century quasi-science, some romantic longing, some detective work in London, and a good measure of suspense."
,9782081247604,Flowers for Algernon,Daniel Keyes,1966,78,"['institutionalization', 'dementia', 'phenylketonuria', 'award:nebula_award=novel', 'Brain', 'Surgery', 'People with mental disabilities', 'Gifted persons', 'Fiction', 'American Science fiction', 'Retrasados mentales', 'Niños superdotados', 'Open Library Staff Picks', 'Readers', 'Cerebro', 'Ficción juvenil', 'Cirugía', 'Science fiction', 'Juvenile fiction', 'Young adult fiction', 'Psychological fiction', 'Personas dotadas', 'Nebula Award', 'Novela', 'Reading Level-Grade 7', 'Reading Level-Grade 9', 'Reading Level-Grade 8', 'Reading Level-Grade 11', 'Reading Level-Grade 10', 'Reading Level-Grade 12', 'Fiction, science fiction, general', 'Large type books', ""Children's fiction"", 'People with mental disabilities, fiction', 'Mentally handicapped', 'Personnes ayant une déficience intellectuelle', 'Romans, nouvelles', 'Surdoués', 'Cerveau', 'Chirurgie', 'Grifted peoples']",['science fiction'],N/A,0,12947700,borrow_unavailable,N/A,,,""" Si l'opération réussi bien je montrerai a cète souris d'Algernon que je peux être ossi un télijen quelle et même plus. Et je pourrai mieux lire et ne pas faire de fotes en écrivan et apprendre des tas de choses et être comme les otres. "" Charrie Gordon a 33 ans et l'âge mental d'un enfant de 6 ans. Il voit sa vie bouleversée le jour où, comme la souris Algernon, il subit une opération qui multipliera son Q.I. par 3. Charles va enfin pouvoir réaliser son rêve . devenir intelligent. Au jour le jour, il fait le compte rendu de ses progrès. Mais jusqu'où cette ascension va-t-elle le mener ?"
,N/A,Star Maker,Olaf Stapledon,1937,77,"['Fiction, general', 'Fiction in English', 'Science fiction', 'Fiction', 'Cosmology', 'Long Now Manual for Civilization', 'Fiction, science fiction, general', 'English literature']",['science fiction'],N/A,0,911107,error,N/A,,,"El hacedor de estrellas, como otros libros de Stapledon ha sido la fuente de influencia para autores de la talla de James Blish, Isaac Asimov y Arthur C. Clarke (que han reconocido su endeudamiento con él, después de H.G. Wells), y de películas como La Guerra de las Galaxias y Star Trek. Muchas ideas básicas de la literatura de Ciencia Ficción encuentran sus orígenes en esta obra. Eric Frank Russell y Theodore Sturgeon han escrito acerca de razas simbióticas; Robert A. Heinlein, Clifford D. Simak e Isaac Asimov acerca de los imperios estelares, y los científicos Fred Hoyle y Arthur C. Clarke sobre estrellas y nebulosas inteligentes, todos temas stapledonianos.Sus libros están plagados de un fuerte contenido científico y detalles sobre sus mundos, todos ellos más que novelas, son ensayos filosóficos que rondan el existencialismo (aunque siempre está la duda)."
,N/A,Tales of space and time,H. G. Wells,1899,77,"['English Science fiction', 'Classic Literature', 'Fiction', 'Science Fiction', 'Short Stories', 'Fiction, science fiction, collections & anthologies', 'Fiction, short stories (single author)']",['science fiction'],N/A,0,5813880,error,N/A,,,"Es famoso por sus novelas de ciencia ficción y es considerado, junto a Julio Verne, uno de los precursores de este género. Sus novelas, junto con las de éste, fueron la inspiración del ingeniero aeroespacial Wernher von Braun,. Por sus escritos relacionados con la ciencia, en 1970 se decidió en su honor llamar H. G. Wells a un astroblema lunar ubicado en la cara oculta de la Luna."
,N/A,Firestarter,Stephen King,1980,77,"['Genetic Engineering', 'suspense', 'Fiction', 'Psychokinesis', 'Fire', 'Horror', 'Psychic ability', 'Science fiction', 'horror thriller', 'telekinesis', 'migraines', 'bleeding', 'pyrokinesis', 'hit men', 'Cherokees', 'Vietnam veterans', 'janitors', 'Rolling Stone', 'Fiction, horror', 'Horror tales', 'American Authors', 'Children', 'Testing laboratories', 'Psychokineses', 'Fiction, science fiction, general', 'Fiction, mystery & detective, general', 'Fiction, media tie-in']","['science fiction', 'children', 'horror']",N/A,0,12015446,error,N/A,4,2,"Una de las novelas más fascinante y escalofriante del rey del terror. Charlie es un niña rubia, de ojos azules, educada y cariñosa. Pero también es piroquinética. Sí, puede encender fuego a distancia, desde inofensivas fogatas hasta hogueras voraces. Y si posee estas capacidades a los siete años, horroriza pensar en sus poderes destructores cuando sea adulta. Aunque, la verdad, tiene pocas probabilidades de llegar a la edad adulta. Porque el servicio secreto norteamericano encargado de realizarinvestigaciones científicas y paracientíficas para su aplicación militar ha decidido estudiar a Charlie y luego eliminarla, tal como estudió y eliminó a sus padres después de haberlos utilizado en sus experimentos... La crítica ha dicho... «King ha creado una pequeña joya.» Chicago Tribune"
,,The Illustrated Man,Ray Bradbury,1901,77,"['American Science fiction', 'Science fiction', 'English Short stories', 'Tattooing', 'Magic', 'Storytelling', 'American Fantasy fiction', 'American Horror stories', 'Fiction', 'Prejudice', 'Invasion', 'Space colonies', 'Space flight', 'Children', 'Large type books', 'Short stories', 'Fiction, science fiction, collections & anthologies', 'American Short stories', 'Nouvelles américaines']","['children', 'science fiction']",N/A,0,9345484,borrow_available,N/A,,,"Uno de los clásicos imprescindibles del catálogo de Minotauro, ahora en nuestra Biblioteca Minotauro Esenciales. En esta colección de historias entrelazadas, el narrador anónimo conoce a El Hombre Ilustrado , un curioso personaje con el cuerpo completamente cubierto de tatuajes. Sin embargo, lo más remarcable e inquietante es que las ilustraciones están mágicamente vivas y cada una de ellas empieza a desarrollar su propia historia, como en La pradera donde unos niños llegan un juego de realidad virtual más allá de sus límites. O en Calidoscopio , el sobrecogedor relato de un astronauta que se dispone a reentrar en la atmósfera terrestre sin la protección de una nave espacial. O en La hora cero , en el que los invasores extraterrestres han encontrado unos aliados lógicos y sorprendentes: los niños terrícolas. Cada uno de los dieciocho relatos que componen esta colección es una muestra de la maestría narrativa de Bradbury y no han perdido ni su vigor ni su actualidad desde que fueron publicados por primera vez."
